ID,Age,Gender,Education Level,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Emotional Intelligence,Risk Tolerance,Stress Resilience,Decision-Making Style,Motivation Type,Logical Reasoning,Verbal Ability,Numerical Ability,Creativity,Memory/Attention Span,Learning Style,Analytical Thinking,Communication,Leadership,Problem-Solving,Technical/Programming,Artistic/Design,Empathy & Counseling Ability,Negotiation/Persuasion,Entrepreneurial Drive,Domain-Specific Skill,Interests,Preferred Work Environment,Values & Motivators,Career Recommendation
1,26,Female,PhD,8,2,5,2,2,3,9,8,Collaborative,Mixed,2,10,5,8,2,Visual,1,4,5,3,9,3,8,6,8,"Music Composition, Robotics","Medicine, Business",Fast-paced,"Innovation, Freedom",Fashion Stylist
2,26,Male,Graduate,4,10,3,4,4,7,7,8,Collaborative,Extrinsic,8,3,8,3,9,Auditory,9,5,3,9,2,8,3,5,3,"Cybersecurity, Urban Planning","Software, Space",Independent,"Service, Legacy, Creativity",AI/ML Engineer
3,29,Female,Self-taught,5,2,10,5,6,2,5,7,Risk-averse,Extrinsic,10,5,8,2,6,Reading/Writing,3,3,4,7,8,3,3,10,2,Renewable Energy Systems,"Hospitality, Space, Environment, Social Work",Creative/Artistic,"Growth, Service",Digital Content Strategist
4,23,Female,Undergraduate,8,6,8,10,10,7,7,5,Collaborative,Extrinsic,1,6,7,8,1,Auditory,5,9,4,6,7,1,6,6,8,"Legal Writing, Teaching Pedagogy","Hospitality, Art",Fast-paced,"Stability, Creativity",Civil Servant
5,37,Female,High School,3,1,4,2,6,2,6,8,Intuitive,Intrinsic,9,5,7,1,1,Reading/Writing,10,6,3,9,10,10,4,7,8,Architecture,"Hospitality, Media, Public Policy, Law",Hands-on/Fieldwork,"Growth, Freedom, Stability",Climate Scientist
6,43,Female,Self-taught,7,8,4,10,8,2,2,6,Collaborative,Intrinsic,7,8,6,7,4,Kinesthetic,5,7,3,1,3,10,7,8,7,Nutrition Science,"Social Work, Hospitality, Politics, Media",Fast-paced,"Freedom, Innovation",Pediatric Surgeon
7,29,Male,PhD,1,2,8,4,9,2,10,7,Collaborative,Intrinsic,4,2,4,4,10,Kinesthetic,2,10,10,6,1,1,6,5,4,"Wildlife Conservation, Astrophysics","Environment, Space, Public Policy, Software",Flexible Remote,"Freedom, Security",Media Producer
8,32,Male,High School,7,9,3,5,1,3,3,5,Analytical,Extrinsic,5,10,3,1,6,Auditory,6,7,3,4,5,6,7,10,4,"Surgery, Renewable Energy Systems","AI, Social Work",Research-driven,"Recognition, Security",Investment Banker
9,26,Female,High School,7,5,1,5,10,5,8,7,Intuitive,Mixed,6,3,3,7,9,Visual,9,5,6,6,6,4,10,3,10,Data Analysis,"Literature, Medicine, Design, Business",Flexible Remote,"Adventure, Money",Military Strategist
10,43,Female,Graduate,7,4,8,4,7,10,5,1,Collaborative,Intrinsic,10,7,1,9,10,Visual,3,3,2,8,9,5,1,6,6,"Film Direction, Renewable Energy Systems","Public Policy, Science, Research, Media",Flexible Remote,"Creativity, Security",Biomedical Engineer
11,22,Female,High School,10,6,8,3,8,7,5,4,Intuitive,Extrinsic,6,3,10,7,6,Kinesthetic,7,8,10,9,7,2,3,4,5,Legal Writing,"Law, Business, Media",Research-driven,"Impact, Growth",Venture Capital Analyst
12,41,Female,Undergraduate,7,10,1,3,3,6,3,2,Intuitive,Intrinsic,6,7,9,6,6,Kinesthetic,3,8,8,4,7,10,3,7,2,Fashion Design,"Literature, Defense, Teaching",Team-oriented,"Growth, Money, Creativity",Tax Advisor
13,45,Male,High School,2,5,1,2,4,4,4,5,Collaborative,Extrinsic,7,5,2,9,10,Reading/Writing,10,3,8,6,8,5,7,9,8,"Architecture, Robotics","Teaching, AI",Flexible Remote,"Innovation, Service",Diplomatic Advisor
14,16,Female,High School,9,7,7,1,7,4,6,6,Collaborative,Mixed,5,3,9,9,4,Kinesthetic,4,10,5,7,10,5,4,7,3,"Music Composition, Nutrition Science","Research, Agriculture",Creative/Artistic,"Impact, Growth",Supply Chain Manager
15,25,Male,Vocational,3,8,3,6,2,10,4,6,Intuitive,Intrinsic,4,6,4,2,2,Auditory,6,3,3,10,10,3,4,3,9,Hospital Management,"Hospitality, Media",Hands-on/Fieldwork,"Stability, Security, Freedom",Clinical Psychologist
16,37,Female,Undergraduate,1,3,1,10,4,2,1,10,Analytical,Intrinsic,5,2,9,7,9,Kinesthetic,5,3,9,2,8,3,8,4,3,Sports Training,"Art, Public Policy",Independent,"Impact, Money, Creativity",Military Strategist
17,16,Male,Graduate,8,4,2,8,5,6,9,4,Risk-averse,Extrinsic,10,8,8,8,10,Kinesthetic,1,9,4,6,8,9,8,10,6,Renewable Energy Systems,"Sports, Defense, Space",Structured/Organized,"Innovation, Recognition, Security",Wildlife Conservationist
18,31,Female,Self-taught,4,7,9,2,8,4,5,8,Risk-averse,Extrinsic,10,9,2,10,3,Visual,8,7,3,9,4,1,10,1,10,"Hospital Management, Renewable Energy Systems","Agriculture, Design, Art, Teaching",Hands-on/Fieldwork,"Money, Recognition, Adventure",Cloud Architect
19,36,Male,PhD,7,9,10,8,9,8,4,7,Analytical,Intrinsic,9,2,8,3,7,Auditory,2,10,8,9,2,6,10,7,3,Hospital Management,"Environment, Space, Agriculture",Team-oriented,"Stability, Adventure",Diplomatic Advisor
20,28,Female,Self-taught,8,4,5,3,8,10,2,4,Risk-averse,Mixed,2,1,3,1,8,Visual,10,4,9,1,10,10,10,1,5,"Film Direction, Urban Planning","Art, Hospitality",Team-oriented,"Adventure, Freedom, Legacy",Corporate Lawyer
21,40,Male,Undergraduate,10,7,5,4,9,9,3,4,Collaborative,Mixed,9,4,9,8,8,Reading/Writing,3,5,5,8,2,3,8,8,8,"Journalism, Diplomacy","Public Policy, Medicine, Politics, Social Work",Hands-on/Fieldwork,"Innovation, Adventure, Creativity",AR/VR Developer
22,45,Male,High School,8,3,3,4,5,5,10,7,Risk-averse,Extrinsic,1,2,1,4,9,Kinesthetic,1,9,6,6,10,6,8,1,10,"Astrophysics, Hospital Management","Media, Defense",Independent,"Stability, Adventure",Medical Researcher
23,32,Female,Vocational,2,8,5,4,1,5,7,10,Collaborative,Extrinsic,6,9,10,5,4,Auditory,10,3,3,7,2,1,9,7,10,Hospital Management,"Agriculture, Sports, Environment",Structured/Organized,"Legacy, Money",Curriculum Designer
24,33,Male,Graduate,4,6,8,2,5,10,8,4,Analytical,Intrinsic,3,7,7,1,3,Kinesthetic,8,6,3,8,2,4,9,7,8,Diplomacy,"Art, Research, Politics",Creative/Artistic,"Impact, Growth",Digital Content Strategist
25,34,Male,Graduate,7,4,10,1,5,10,2,6,Intuitive,Intrinsic,4,1,4,7,7,Auditory,2,10,7,5,9,8,6,9,10,"Robotics, Diplomacy","Finance, Art, Social Work",Structured/Organized,"Impact, Creativity, Adventure",University Lecturer
26,27,Male,Graduate,8,4,8,4,6,8,9,3,Intuitive,Mixed,9,3,7,1,9,Kinesthetic,1,7,4,6,6,1,1,10,8,Journalism,"Agriculture, AI",Research-driven,"Recognition, Service",Renewable Energy Engineer
27,32,Female,Graduate,6,8,2,8,4,3,5,10,Analytical,Mixed,1,7,7,8,7,Visual,3,4,10,6,5,3,1,8,5,Journalism,"Business, Medicine, Defense, Finance",Independent,"Legacy, Growth",Special Education Specialist
28,35,Female,Vocational,2,4,7,1,2,8,7,3,Risk-averse,Mixed,6,9,2,3,10,Auditory,7,8,8,10,5,2,8,5,6,"Astrophysics, Film Direction","Finance, Research, Media, Business",Creative/Artistic,"Freedom, Stability",Investigative Journalist
29,41,Female,Graduate,3,10,10,1,7,3,2,4,Risk-averse,Extrinsic,9,2,6,10,5,Auditory,6,9,7,9,10,10,1,6,1,Legal Writing,"Politics, Literature",Independent,"Recognition, Security, Stability",Data Scientist
30,39,Female,Undergraduate,6,5,5,5,6,9,9,5,Collaborative,Intrinsic,4,6,2,5,5,Kinesthetic,10,2,7,9,8,10,8,3,3,Fashion Design,"Media, Software",Fast-paced,"Stability, Growth, Money",Renewable Energy Engineer
31,41,Female,PhD,5,4,9,3,8,4,3,5,Intuitive,Extrinsic,3,9,9,1,5,Kinesthetic,3,9,5,4,10,7,8,4,3,"Urban Planning, Renewable Energy Systems","Agriculture, Defense",Fast-paced,"Adventure, Legacy, Service",Special Education Specialist
32,36,Male,Graduate,6,6,2,7,9,2,5,3,Analytical,Extrinsic,9,2,1,6,5,Reading/Writing,7,10,4,4,2,10,2,2,10,"Astrophysics, Film Direction","Law, Agriculture, Teaching",Independent,"Adventure, Growth",Graphic Designer
33,32,Female,Vocational,9,4,4,3,8,2,10,10,Risk-averse,Extrinsic,8,4,3,3,3,Auditory,3,2,7,1,1,4,6,6,3,Astrophysics,"Agriculture, Business, Defense",Hands-on/Fieldwork,"Recognition, Freedom",Special Education Specialist
34,26,Female,Graduate,2,5,4,9,2,10,1,9,Risk-averse,Intrinsic,9,1,5,5,6,Kinesthetic,3,2,7,1,9,7,2,5,8,"Robotics, Film Direction","Literature, AI, Hospitality",Independent,"Innovation, Creativity, Service",University Lecturer
35,34,Female,Vocational,3,8,5,9,8,9,5,1,Analytical,Mixed,7,9,10,5,7,Visual,9,3,7,5,9,9,10,10,10,"Fashion Design, Film Direction","Medicine, Teaching",Structured/Organized,"Legacy, Freedom",UX/UI Designer
36,24,Female,Undergraduate,5,9,2,3,6,9,9,9,Risk-averse,Mixed,6,4,9,1,1,Visual,9,4,1,8,6,6,10,6,1,Journalism,"Sports, Space, Agriculture, Politics",Independent,"Service, Growth, Adventure",Medical Researcher
37,33,Male,Self-taught,4,5,8,6,1,6,7,3,Analytical,Extrinsic,5,9,3,9,10,Kinesthetic,3,2,3,9,5,1,4,3,3,Architecture,"Space, Defense",Team-oriented,"Impact, Security, Growth",Judge’s Clerk
38,28,Female,Graduate,7,1,2,2,3,3,10,9,Collaborative,Extrinsic,9,7,1,6,7,Visual,8,4,1,4,6,3,7,10,3,"Urban Planning, Diplomacy","AI, Finance, Design",Structured/Organized,"Growth, Recognition, Legacy",Product Manager
39,20,Male,Undergraduate,1,1,1,10,10,1,7,9,Intuitive,Intrinsic,4,2,7,6,10,Auditory,9,8,6,4,9,4,8,9,10,"Surgery, Architecture","Media, Space",Creative/Artistic,"Adventure, Growth, Impact",Policy Analyst
